,containsCondition,isNewQuery,containsEmptyString,containsPayload,containsReturn,containsRegexTrue,evalQueryOperations,containsLogicalOp,elementQueryOperations,containsFunction,isUpdateQuery,containsEmptyArray,isWhileTrue,containsEndQuery,Label
29,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
32,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
44,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
45,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
51,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
52,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
53,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
54,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
58,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
59,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
60,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1
61,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
62,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
64,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
67,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
89,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
119,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
122,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
128,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
133,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
149,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
158,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
205,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
223,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
230,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
231,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
232,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
233,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
234,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
235,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
236,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
237,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
238,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
239,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
241,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
243,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
256,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
262,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
263,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
278,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
279,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
287,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
288,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
289,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
290,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
291,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
292,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
293,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
294,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
320,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
321,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
341,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
343,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
344,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
345,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
346,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
349,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
350,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
351,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
355,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
356,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
357,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
358,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
359,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
360,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
361,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
362,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
363,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
367,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
369,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
371,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
373,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
379,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
380,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
381,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
385,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
